subject,timestamp_unix,timestamp_internal,timestamp_MainMessage,timestampMainMessage_content,verified,group,good_eye
wxw6,1639491159377,15073336,15065572,15212440,True,6,LEFT
xp6,1639382889820,2654137,2650224,3064506,True,6,RIGHT
xl6,1639589976368,36969219,36965518,14919789,True,6,LEFT
yfs6,1639390546683,10311000,10242880,10656505,True,6,LEFT
zxm6,1639150367718,14470286,14431787,31035913,True,6,LEFT
byz7,1638896652722,35376616,35370375,1600293,True,7,LEFT
cy7,1638367425266,7334401,7332217,670968,True,7,RIGHT
htc7,1638459431020,28387880,28382597,28345475,True,7,RIGHT
sbw7,1638467850779,36807639,36801973,36764124,True,7,RIGHT
shd7,1638276556611,3024552,3018304,20907284,True,7,RIGHT
slm7,1638293288297,19756238,19723425,37610957,True,7,RIGHT
xyl7,1638549294302,16196130,16189662,34358411,True,7,LEFT
xz7,1638346552859,2566594,2542387,2556397,False,7,LEFT
yl7,1638289770926,16238867,16235611,34123446,True,7,LEFT
ycb7,1638376594122,16522633,16358131,9696102,False,7,LEFT
zy7,1638350384831,6384717,6380450,6394128,True,7,RIGHT
fwx7,1639060304534,21158443,21155742,20883783,True,7,LEFT
jml7,1639760244176,17334501,17329229,17401589,True,7,LEFT
lhz7,1639748804799,5895124,5892741,5966089,True,7,LEFT
cxl7,1639743173364,263664,261003,334835,True,7,LEFT
pr7,1639756347686,13438010,13432991,13505688,True,7,RIGHT
yfs7,1639409733372,29497689,29488921,9977686,True,7,LEFT
yrz7,1639648257168,3772360,3762207,116224,True,7,LEFT
byz8,1638873087094,11810988,11806701,8831315,True,8,LEFT
cy8,1638540356502,7258330,7255203,25424727,True,8,RIGHT
hbw8,1638782996667,7237004,7228271,7123963,True,8,RIGHT
jml8,1638551997272,18899100,18858428,37026945,True,8,RIGHT
mh8,1638969563015,20978427,20895787,12055467,True,8,RIGHT
xyl8,1638893454095,32177990,32173398,7795265,True,8,LEFT
ymc8,1638866031504,4755398,4753369,1778591,True,8,LEFT
yrl8,1638795207117,19447454,19441893,19336529,True,8,RIGHT
byq8,1639649975650,5490841,5484948,1838817,True,8,LEFT
fwx8,1639053179791,14033701,14028395,13757053,True,8,LEFT
gzc8,1639659488442,15003634,14848109,11201169,True,8,RIGHT
cxl8,1639744335763,1426088,1423812,1497546,True,8,LEFT
szw8,1639503391859,27305818,27302823,27448634,True,8,LEFT
yfs8,1639393168193,12932490,12926902,13340295,True,8,LEFT
yl8,1639066944019,27797929,27777225,27504693,True,8,LEFT
zxm8,1639152469616,16572184,16565624,33169565,True,8,LEFT
zxa8,1639671095332,26610524,26608072,22960115,True,8,RIGHT
zhc8,1639143383576,7486144,7480518,24085247,True,8,LEFT
cy9,1638279897510,6365451,6290750,24179447,True,9,LEFT
cxl9,1638439529667,8486527,8321503,8286114,True,9,RIGHT
sm9,1638361612607,1538460,1467966,17572388,False,9,RIGHT
slm9,1638294717498,21185439,21179422,39066827,True,9,RIGHT
ycb9,1638433287886,2244746,2241614,2206750,True,9,LEFT
yrl9,1638536851004,3752831,3704097,21873928,True,9,LEFT
zxa9,1638545829579,12731407,12726826,30895875,True,9,LEFT
zht9,1638435260567,4217428,4172150,4137119,True,9,RIGHT
zy9,1638354064130,10064016,10057502,10070862,True,9,LEFT
byq9,1639486955646,10869604,10863679,11010911,True,9,RIGHT
fwx9,1639056965562,17819472,17815709,17544039,True,9,LEFT
gzc9,1639577773910,24766761,24758127,2713452,True,9,LEFT
hbw9,1639039665853,519763,495496,225323,True,9,RIGHT
lhz9,1639751792497,8882822,8880770,8953860,True,9,RIGHT
yy9,1639493023923,16937881,16895489,17042199,True,9,RIGHT
ymc9,1639563526514,10519365,10517238,10832425,True,9,LEFT
byz10,1638810745186,34985523,34979701,34872993,True,10,RIGHT
cy10,1638454280759,23237620,23234296,23197619,True,10,RIGHT
flk10,1638881491578,20215468,20211254,2762470,False,10,RIGHT
htc10,1638885775448,24499343,24496428,118959,True,10,RIGHT
hbw10,1638953120849,4536262,4529080,4454192,True,10,LEFT
jml10,1638553691842,20593669,20588079,38756446,True,10,RIGHT
mh10,1638971284880,22700293,22694535,13854060,True,10,RIGHT
shd10,1638965634788,17050200,17042251,8202264,True,10,LEFT
ymc10,1638776081663,321999,229441,125737,True,10,RIGHT
yrl10,1638800112409,24352746,24350214,24244426,True,10,RIGHT
gzc10,1639664159062,19674254,19668625,16021269,True,10,RIGHT
pr10,1639586142597,33135448,33130260,11084862,True,10,RIGHT
xs10,1639412048798,31813115,31804922,12293487,True,10,LEFT
xyl10,1638979690368,31105780,31101315,22260113,True,10,RIGHT
yfs10,1639407733488,27497791,27494647,7983584,True,10,LEFT
yl10,1639070260933,31114843,31110841,30838021,True,10,LEFT
zhc10,1639140054077,4156645,4150020,20755037,True,10,LEFT
