---- Session started: Thu Feb 10 2022 14:04:27 GMT+0100 (Central European Standard Time) ----
id x y width height top right bottom left
I2Q1_T0 1636.3125 157.71875 60.625 29 157.71875 1696.9375 186.71875 1636.3125
I2Q1_T1 1696.9375 157.71875 21.625 29 157.71875 1718.5625 186.71875 1696.9375
I2Q1_T2 1718.5625 157.71875 40.40625 29 157.71875 1758.96875 186.71875 1718.5625
I2Q1_T3 1758.96875 157.71875 73.4375 29 157.71875 1832.40625 186.71875 1758.96875
I2Q1_T4 1832.40625 157.71875 26.703125 29 157.71875 1859.109375 186.71875 1832.40625
I2Q1_T5 1859.109375 157.71875 44.5625 29 157.71875 1903.671875 186.71875 1859.109375
I2Q1_T6 1696.984375 188.5625 146.03125 29 188.5625 1843.015625 217.5625 1696.984375
I2Q1A_T0 1691.75 230.40625 59.359375 25 230.40625 1751.109375 255.40625 1691.75
I2Q1A_T1 1751.109375 230.40625 59.421875 25 230.40625 1810.53125 255.40625 1751.109375
I2Q1A_T2 1810.53125 230.40625 54.78125 25 230.40625 1865.3125 255.40625 1810.53125
I2Q1A_T3 1704.328125 250.390625 79.703125 25 250.390625 1784.03125 275.390625 1704.328125
I2Q1A_T4 1784.03125 250.390625 21.109375 25 250.390625 1805.140625 275.390625 1784.03125
I2Q1A_T5 1805.140625 250.390625 30.515625 25 250.390625 1835.65625 275.390625 1805.140625
I2Q1B_T0 1691.75 280.375 59.359375 25 280.375 1751.109375 305.375 1691.75
I2Q1B_T1 1751.109375 280.375 59.421875 25 280.375 1810.53125 305.375 1751.109375
I2Q1B_T2 1810.53125 280.375 54.78125 25 280.375 1865.3125 305.375 1810.53125
I2Q1B_T3 1684.25 300.359375 79.703125 25 300.359375 1763.953125 325.359375 1684.25
I2Q1B_T4 1763.953125 300.359375 21.109375 25 300.359375 1785.0625 325.359375 1763.953125
I2Q1B_T5 1785.0625 300.359375 70.671875 25 300.359375 1855.734375 325.359375 1785.0625
I2Q1C_T0 1691.75 330.34375 59.359375 25 330.34375 1751.109375 355.34375 1691.75
I2Q1C_T1 1751.109375 330.34375 59.421875 25 330.34375 1810.53125 355.34375 1751.109375
I2Q1C_T2 1810.53125 330.34375 54.78125 25 330.34375 1865.3125 355.34375 1810.53125
I2Q1C_T3 1675.125 350.328125 79.703125 25 350.328125 1754.828125 375.328125 1675.125
I2Q1C_T4 1754.828125 350.328125 21.109375 25 350.328125 1775.9375 375.328125 1754.828125
I2Q1C_T5 1775.9375 350.328125 88.921875 25 350.328125 1864.859375 375.328125 1775.9375
I2Q2_T0 1668.28125 157.71875 60.625 29 157.71875 1728.90625 186.71875 1668.28125
