---- Session started: Thu Feb 10 2022 13:46:11 GMT+0100 (Central European Standard Time) ----
id x y width height top right bottom left
I2Q1_T0 1636.3125 157.71875 60.625 29 157.71875 1696.9375 186.71875 1636.3125
I2Q1_T1 1696.9375 157.71875 21.625 29 157.71875 1718.5625 186.71875 1696.9375
I2Q1_T2 1718.5625 157.71875 40.40625 29 157.71875 1758.96875 186.71875 1718.5625
I2Q1_T3 1758.96875 157.71875 73.4375 29 157.71875 1832.40625 186.71875 1758.96875
I2Q1_T4 1832.40625 157.71875 26.703125 29 157.71875 1859.109375 186.71875 1832.40625
I2Q1_T5 1859.109375 157.71875 44.5625 29 157.71875 1903.671875 186.71875 1859.109375
I2Q1_T6 1696.984375 188.5625 146.03125 29 188.5625 1843.015625 217.5625 1696.984375
I2Q1A_T0 1678.03125 230.40625 98.15625 25 230.40625 1776.1875 255.40625 1678.03125
I2Q1A_T1 1776.1875 230.40625 102.84375 25 230.40625 1879.03125 255.40625 1776.1875
I2Q1A_T2 1650.703125 250.390625 54.265625 25 250.390625 1704.96875 275.390625 1650.703125
I2Q1A_T3 1704.96875 250.390625 21.109375 25 250.390625 1726.078125 275.390625 1704.96875
I2Q1A_T4 1726.078125 250.390625 34.578125 25 250.390625 1760.65625 275.390625 1726.078125
I2Q1A_T5 1760.65625 250.390625 67.015625 25 250.390625 1827.671875 275.390625 1760.65625
I2Q1A_T6 1827.671875 250.390625 61.625 25 250.390625 1889.296875 275.390625 1827.671875
I2Q1B_T0 1677.890625 280.375 98.4375 25 280.375 1776.328125 305.375 1677.890625
I2Q1B_T1 1776.328125 280.375 102.84375 25 280.375 1879.171875 305.375 1776.328125
I2Q1B_T2 1650.703125 300.359375 54.265625 25 300.359375 1704.96875 325.359375 1650.703125
I2Q1B_T3 1704.96875 300.359375 21.109375 25 300.359375 1726.078125 325.359375 1704.96875
I2Q1B_T4 1726.078125 300.359375 34.578125 25 300.359375 1760.65625 325.359375 1726.078125
I2Q1B_T5 1760.65625 300.359375 67.015625 25 300.359375 1827.671875 325.359375 1760.65625
I2Q1B_T6 1827.671875 300.359375 61.625 25 300.359375 1889.296875 325.359375 1827.671875
I2Q1C_T0 1666.21875 330.34375 98.796875 25 330.34375 1765.015625 355.34375 1666.21875
I2Q1C_T1 1765.015625 330.34375 70.140625 25 330.34375 1835.15625 355.34375 1765.015625
I2Q1C_T2 1835.15625 330.34375 21.109375 25 330.34375 1856.265625 355.34375 1835.15625
I2Q1C_T3 1856.265625 330.34375 34.578125 25 330.34375 1890.84375 355.34375 1856.265625
I2Q1C_T4 1707.703125 350.328125 62.96875 25 350.328125 1770.671875 375.328125 1707.703125
