---- Session started: Thu Feb 10 2022 13:53:11 GMT+0100 (Central European Standard Time) ----
id x y width height top right bottom left
I2Q1_T0 1636.3125 157.71875 60.625 29 157.71875 1696.9375 186.71875 1636.3125
I2Q1_T1 1696.9375 157.71875 21.625 29 157.71875 1718.5625 186.71875 1696.9375
I2Q1_T2 1718.5625 157.71875 40.40625 29 157.71875 1758.96875 186.71875 1718.5625
I2Q1_T3 1758.96875 157.71875 73.4375 29 157.71875 1832.40625 186.71875 1758.96875
I2Q1_T4 1832.40625 157.71875 26.703125 29 157.71875 1859.109375 186.71875 1832.40625
I2Q1_T5 1859.109375 157.71875 44.5625 29 157.71875 1903.671875 186.71875 1859.109375
I2Q1_T6 1696.984375 188.5625 146.03125 29 188.5625 1843.015625 217.5625 1696.984375
I2Q1A_T0 1693.6875 230.40625 14.28125 25 230.40625 1707.96875 255.40625 1693.6875
I2Q1A_T1 1707.96875 230.40625 49.65625 25 230.40625 1757.625 255.40625 1707.96875
I2Q1A_T2 1757.625 230.40625 34.578125 25 230.40625 1792.203125 255.40625 1757.625
I2Q1A_T3 1792.203125 230.40625 71.171875 25 230.40625 1863.375 255.40625 1792.203125
I2Q1A_T4 1645.296875 250.390625 124.4375 25 250.390625 1769.734375 275.390625 1645.296875
I2Q1A_T5 1769.734375 250.390625 54.875 25 250.390625 1824.609375 275.390625 1769.734375
I2Q1A_T6 1824.609375 250.390625 70.078125 25 250.390625 1894.6875 275.390625 1824.609375
I2Q1A_T7 1640.8125 270.375 30.515625 25 270.375 1671.328125 295.375 1640.8125
I2Q1A_T8 1671.328125 270.375 57.84375 25 270.375 1729.171875 295.375 1671.328125
I2Q1A_T9 1729.171875 270.375 91.921875 25 270.375 1821.09375 295.375 1729.171875
I2Q1A_T10 1821.09375 270.375 78.078125 25 270.375 1899.171875 295.375 1821.09375
I2Q1A_T11 1668.390625 290.359375 27.21875 25 290.359375 1695.609375 315.359375 1668.390625
I2Q1A_T12 1695.609375 290.359375 85.3125 25 290.359375 1780.921875 315.359375 1695.609375
I2Q1A_T13 1780.921875 290.359375 90.6875 25 290.359375 1871.609375 315.359375 1780.921875
I2Q1B_T0 1693.6875 320.34375 14.28125 25 320.34375 1707.96875 345.34375 1693.6875
I2Q1B_T1 1707.96875 320.34375 49.65625 25 320.34375 1757.625 345.34375 1707.96875
I2Q1B_T2 1757.625 320.34375 34.578125 25 320.34375 1792.203125 345.34375 1757.625
I2Q1B_T3 1792.203125 320.34375 71.171875 25 320.34375 1863.375 345.34375 1792.203125
I2Q1B_T4 1645.296875 340.328125 124.4375 25 340.328125 1769.734375 365.328125 1645.296875
