---- Session started: Thu Feb 10 2022 14:10:00 GMT+0100 (Central European Standard Time) ----
id x y width height top right bottom left
I2Q1_T0 1636.3125 157.71875 60.625 29 157.71875 1696.9375 186.71875 1636.3125
I2Q1_T1 1696.9375 157.71875 21.625 29 157.71875 1718.5625 186.71875 1696.9375
I2Q1_T2 1718.5625 157.71875 40.40625 29 157.71875 1758.96875 186.71875 1718.5625
I2Q1_T3 1758.96875 157.71875 73.4375 29 157.71875 1832.40625 186.71875 1758.96875
I2Q1_T4 1832.40625 157.71875 26.703125 29 157.71875 1859.109375 186.71875 1832.40625
I2Q1_T5 1859.109375 157.71875 44.5625 29 157.71875 1903.671875 186.71875 1859.109375
I2Q1_T6 1696.984375 188.5625 146.03125 29 188.5625 1843.015625 217.5625 1696.984375
I2Q1A_T0 1687.078125 230.40625 64.5 25 230.40625 1751.578125 255.40625 1687.078125
I2Q1A_T1 1751.578125 230.40625 118.40625 25 230.40625 1869.984375 255.40625 1751.578125
I2Q1B_T0 1688.671875 260.390625 61.3125 25 260.390625 1749.984375 285.390625 1688.671875
I2Q1B_T1 1749.984375 260.390625 118.40625 25 260.390625 1868.390625 285.390625 1749.984375
I2Q1C_T0 1684.9375 290.375 68.78125 25 290.375 1753.71875 315.375 1684.9375
I2Q1C_T1 1753.71875 290.375 118.40625 25 290.375 1872.125 315.375 1753.71875
I2Q2_T0 1677.265625 157.71875 70.359375 29 157.71875 1747.625 186.71875 1677.265625
I2Q2_T1 1747.625 157.71875 52.25 29 157.71875 1799.875 186.71875 1747.625
I2Q2_T2 1799.875 157.71875 21.625 29 157.71875 1821.5 186.71875 1799.875
I2Q2_T3 1821.5 157.71875 41.21875 29 157.71875 1862.71875 186.71875 1821.5
I2Q2_T4 1684.421875 188.5625 101.796875 29 188.5625 1786.21875 217.5625 1684.421875
I2Q2_T5 1786.21875 188.5625 24.78125 29 188.5625 1811 217.5625 1786.21875
I2Q2_T6 1811 188.5625 44.5625 29 188.5625 1855.5625 217.5625 1811
I2Q2_T7 1696.984375 219.40625 146.03125 29 219.40625 1843.015625 248.40625 1696.984375
I2Q2A_T0 1754.15625 261.25 48.734375 25 261.25 1802.890625 286.25 1754.15625
I2Q2B_T0 1754.15625 291.234375 48.734375 25 291.234375 1802.890625 316.234375 1754.15625
I2Q2C_T0 1754.15625 321.21875 48.734375 25 321.21875 1802.890625 346.21875 1754.15625
I2Q3_T0 1667.828125 157.71875 70.359375 29 157.71875 1738.1875 186.71875 1667.828125
I2Q3_T1 1738.1875 157.71875 52.25 29 157.71875 1790.4375 186.71875 1738.1875
