---- Session started: Thu Feb 10 2022 13:58:44 GMT+0100 (Central European Standard Time) ----
id x y width height top right bottom left
I2Q1_T0 1636.3125 157.71875 60.625 29 157.71875 1696.9375 186.71875 1636.3125
I2Q1_T1 1696.9375 157.71875 21.625 29 157.71875 1718.5625 186.71875 1696.9375
I2Q1_T2 1718.5625 157.71875 40.40625 29 157.71875 1758.96875 186.71875 1718.5625
I2Q1_T3 1758.96875 157.71875 73.4375 29 157.71875 1832.40625 186.71875 1758.96875
I2Q1_T4 1832.40625 157.71875 26.703125 29 157.71875 1859.109375 186.71875 1832.40625
I2Q1_T5 1859.109375 157.71875 44.5625 29 157.71875 1903.671875 186.71875 1859.109375
I2Q1_T6 1696.984375 188.5625 146.03125 29 188.5625 1843.015625 217.5625 1696.984375
I2Q1A_T0 1673.5625 230.40625 83.59375 25 230.40625 1757.15625 255.40625 1673.5625
I2Q1A_T1 1757.15625 230.40625 41.375 25 230.40625 1798.53125 255.40625 1757.15625
I2Q1A_T2 1798.53125 230.40625 84.96875 25 230.40625 1883.5 255.40625 1798.53125
I2Q1B_T0 1680.5 260.390625 83.59375 25 260.390625 1764.09375 285.390625 1680.5
I2Q1B_T1 1764.09375 260.390625 41.375 25 260.390625 1805.46875 285.390625 1764.09375
I2Q1B_T2 1805.46875 260.390625 71.078125 25 260.390625 1876.546875 285.390625 1805.46875
I2Q1B_T3 1719.6875 280.375 100.625 25 280.375 1820.3125 305.375 1719.6875
I2Q1C_T0 1685.953125 310.359375 83.59375 25 310.359375 1769.546875 335.359375 1685.953125
I2Q1C_T1 1769.546875 310.359375 41.375 25 310.359375 1810.921875 335.359375 1769.546875
I2Q1C_T2 1810.921875 310.359375 60.171875 25 310.359375 1871.09375 335.359375 1810.921875
I2Q2_T0 1683.453125 157.71875 70.359375 29 157.71875 1753.8125 186.71875 1683.453125
I2Q2_T1 1753.8125 157.71875 62.890625 29 157.71875 1816.703125 186.71875 1753.8125
I2Q2_T2 1816.703125 157.71875 39.828125 29 157.71875 1856.53125 186.71875 1816.703125
I2Q2_T3 1676.046875 188.5625 118.5625 29 188.5625 1794.609375 217.5625 1676.046875
I2Q2_T4 1794.609375 188.5625 24.78125 29 188.5625 1819.390625 217.5625 1794.609375
I2Q2_T5 1819.390625 188.5625 44.5625 29 188.5625 1863.953125 217.5625 1819.390625
I2Q2_T6 1710.734375 219.40625 118.53125 29 219.40625 1829.265625 248.40625 1710.734375
I2Q2A_T0 1712.5625 261.25 87.109375 25 261.25 1799.671875 286.25 1712.5625
I2Q2A_T1 1799.671875 261.25 44.828125 25 261.25 1844.5 286.25 1799.671875
