---- Session started: Thu Feb 10 2022 14:07:17 GMT+0100 (Central European Standard Time) ----
id x y width height top right bottom left
I2Q1_T0 1636.3125 157.71875 60.625 29 157.71875 1696.9375 186.71875 1636.3125
I2Q1_T1 1696.9375 157.71875 21.625 29 157.71875 1718.5625 186.71875 1696.9375
I2Q1_T2 1718.5625 157.71875 40.40625 29 157.71875 1758.96875 186.71875 1718.5625
I2Q1_T3 1758.96875 157.71875 73.4375 29 157.71875 1832.40625 186.71875 1758.96875
I2Q1_T4 1832.40625 157.71875 26.703125 29 157.71875 1859.109375 186.71875 1832.40625
I2Q1_T5 1859.109375 157.71875 44.5625 29 157.71875 1903.671875 186.71875 1859.109375
I2Q1_T6 1696.984375 188.5625 146.03125 29 188.5625 1843.015625 217.5625 1696.984375
I2Q1A_T0 1660.296875 230.40625 51.5625 25 230.40625 1711.859375 255.40625 1660.296875
I2Q1A_T1 1711.859375 230.40625 46.359375 25 230.40625 1758.21875 255.40625 1711.859375
I2Q1A_T2 1758.21875 230.40625 37.5625 25 230.40625 1795.78125 255.40625 1758.21875
I2Q1A_T3 1795.78125 230.40625 43.359375 25 230.40625 1839.140625 255.40625 1795.78125
I2Q1A_T4 1839.140625 230.40625 57.625 25 230.40625 1896.765625 255.40625 1839.140625
I2Q1A_T5 1718.3125 250.390625 42.296875 25 250.390625 1760.609375 275.390625 1718.3125
I2Q1A_T6 1760.609375 250.390625 61.078125 25 250.390625 1821.6875 275.390625 1760.609375
I2Q1B_T0 1660.609375 280.375 51.5625 25 280.375 1712.171875 305.375 1660.609375
I2Q1B_T1 1712.171875 280.375 46.359375 25 280.375 1758.53125 305.375 1712.171875
I2Q1B_T2 1758.53125 280.375 36.921875 25 280.375 1795.453125 305.375 1758.53125
I2Q1B_T3 1795.453125 280.375 43.359375 25 280.375 1838.8125 305.375 1795.453125
I2Q1B_T4 1838.8125 280.375 57.625 25 280.375 1896.4375 305.375 1838.8125
I2Q1B_T5 1718.3125 300.359375 42.296875 25 300.359375 1760.609375 325.359375 1718.3125
I2Q1B_T6 1760.609375 300.359375 61.078125 25 300.359375 1821.6875 325.359375 1760.609375
I2Q1C_T0 1660.296875 330.34375 51.5625 25 330.34375 1711.859375 355.34375 1660.296875
I2Q1C_T1 1711.859375 330.34375 46.359375 25 330.34375 1758.21875 355.34375 1711.859375
I2Q1C_T2 1758.21875 330.34375 37.5625 25 330.34375 1795.78125 355.34375 1758.21875
I2Q1C_T3 1795.78125 330.34375 43.359375 25 330.34375 1839.140625 355.34375 1795.78125
I2Q1C_T4 1839.140625 330.34375 57.625 25 330.34375 1896.765625 355.34375 1839.140625
