---- Session started: Thu Feb 10 2022 13:55:57 GMT+0100 (Central European Standard Time) ----
id x y width height top right bottom left
I2Q1_T0 1636.3125 157.71875 60.625 29 157.71875 1696.9375 186.71875 1636.3125
I2Q1_T1 1696.9375 157.71875 21.625 29 157.71875 1718.5625 186.71875 1696.9375
I2Q1_T2 1718.5625 157.71875 40.40625 29 157.71875 1758.96875 186.71875 1718.5625
I2Q1_T3 1758.96875 157.71875 73.4375 29 157.71875 1832.40625 186.71875 1758.96875
I2Q1_T4 1832.40625 157.71875 26.703125 29 157.71875 1859.109375 186.71875 1832.40625
I2Q1_T5 1859.109375 157.71875 44.5625 29 157.71875 1903.671875 186.71875 1859.109375
I2Q1_T6 1696.984375 188.5625 146.03125 29 188.5625 1843.015625 217.5625 1696.984375
I2Q1A_T0 1667.953125 230.40625 72.75 25 230.40625 1740.703125 255.40625 1667.953125
I2Q1A_T1 1740.703125 230.40625 22.8125 25 230.40625 1763.515625 255.40625 1740.703125
I2Q1A_T2 1763.515625 230.40625 94.296875 25 230.40625 1857.8125 255.40625 1763.515625
I2Q1A_T3 1857.8125 230.40625 31.28125 25 230.40625 1889.09375 255.40625 1857.8125
I2Q1A_T4 1737.21875 250.390625 65.5625 25 250.390625 1802.78125 275.390625 1737.21875
I2Q1B_T0 1668.3125 280.375 72.75 25 280.375 1741.0625 305.375 1668.3125
I2Q1B_T1 1741.0625 280.375 22.8125 25 280.375 1763.875 305.375 1741.0625
I2Q1B_T2 1763.875 280.375 93.578125 25 280.375 1857.453125 305.375 1763.875
I2Q1B_T3 1857.453125 280.375 31.28125 25 280.375 1888.734375 305.375 1857.453125
I2Q1B_T4 1687.203125 300.359375 86.90625 25 300.359375 1774.109375 325.359375 1687.203125
I2Q1B_T5 1774.109375 300.359375 78.6875 25 300.359375 1852.796875 325.359375 1774.109375
I2Q1C_T0 1668.3125 330.34375 72.75 25 330.34375 1741.0625 355.34375 1668.3125
I2Q1C_T1 1741.0625 330.34375 22.8125 25 330.34375 1763.875 355.34375 1741.0625
I2Q1C_T2 1763.875 330.34375 93.578125 25 330.34375 1857.453125 355.34375 1763.875
I2Q1C_T3 1857.453125 330.34375 31.28125 25 330.34375 1888.734375 355.34375 1857.453125
I2Q1C_T4 1679.390625 350.328125 124.984375 25 350.328125 1804.375 375.328125 1679.390625
I2Q1C_T5 1804.375 350.328125 56.21875 25 350.328125 1860.59375 375.328125 1804.375
I2Q2_T0 1634.984375 157.71875 60.625 29 157.71875 1695.609375 186.71875 1634.984375
I2Q2_T1 1695.609375 157.71875 74.671875 29 157.71875 1770.28125 186.71875 1695.609375
