---- Session started: Thu Feb 10 2022 14:13:02 GMT+0100 (Central European Standard Time) ----
id x y width height top right bottom left
I2Q1_T0 1636.3125 157.71875 60.625 29 157.71875 1696.9375 186.71875 1636.3125
I2Q1_T1 1696.9375 157.71875 21.625 29 157.71875 1718.5625 186.71875 1696.9375
I2Q1_T2 1718.5625 157.71875 40.40625 29 157.71875 1758.96875 186.71875 1718.5625
I2Q1_T3 1758.96875 157.71875 73.4375 29 157.71875 1832.40625 186.71875 1758.96875
I2Q1_T4 1832.40625 157.71875 26.703125 29 157.71875 1859.109375 186.71875 1832.40625
I2Q1_T5 1859.109375 157.71875 44.5625 29 157.71875 1903.671875 186.71875 1859.109375
I2Q1_T6 1697.375 188.5625 145.25 29 188.5625 1842.625 217.5625 1697.375
I2Q1A_T0 1652.671875 230.40625 79.890625 25 230.40625 1732.5625 255.40625 1652.671875
I2Q1A_T1 1732.5625 230.40625 48.515625 25 230.40625 1781.078125 255.40625 1732.5625
I2Q1A_T2 1781.078125 230.40625 123.3125 25 230.40625 1904.390625 255.40625 1781.078125
I2Q1A_T3 1736.140625 250.390625 67.71875 25 250.390625 1803.859375 275.390625 1736.140625
I2Q1B_T0 1652.671875 280.375 79.890625 25 280.375 1732.5625 305.375 1652.671875
I2Q1B_T1 1732.5625 280.375 48.515625 25 280.375 1781.078125 305.375 1732.5625
I2Q1B_T2 1781.078125 280.375 123.3125 25 280.375 1904.390625 305.375 1781.078125
I2Q1B_T3 1743.40625 300.359375 53.1875 25 300.359375 1796.59375 325.359375 1743.40625
I2Q1C_T0 1652.671875 330.34375 79.890625 25 330.34375 1732.5625 355.34375 1652.671875
I2Q1C_T1 1732.5625 330.34375 48.515625 25 330.34375 1781.078125 355.34375 1732.5625
I2Q1C_T2 1781.078125 330.34375 123.3125 25 330.34375 1904.390625 355.34375 1781.078125
I2Q1C_T3 1745.34375 350.328125 49.296875 25 350.328125 1794.640625 375.328125 1745.34375
I2Q2_T0 1647.671875 157.71875 60.625 29 157.71875 1708.296875 186.71875 1647.671875
I2Q2_T1 1708.296875 157.71875 68.4375 29 157.71875 1776.734375 186.71875 1708.296875
I2Q2_T2 1776.734375 157.71875 52.734375 29 157.71875 1829.46875 186.71875 1776.734375
I2Q2_T3 1829.46875 157.71875 21.625 29 157.71875 1851.09375 186.71875 1829.46875
I2Q2_T4 1851.09375 157.71875 41.21875 29 157.71875 1892.3125 186.71875 1851.09375
I2Q2_T5 1684.421875 188.5625 101.796875 29 188.5625 1786.21875 217.5625 1684.421875
I2Q2_T6 1786.21875 188.5625 24.78125 29 188.5625 1811 217.5625 1786.21875
