---- Session started: Fri Feb 18 2022 17:30:01 GMT+0100 (Central European Standard Time) ----

id x y width height top right bottom left
I2Q1_T0 723.578125 573.078125 60.625 29 573.078125 784.203125 602.078125 723.578125
I2Q1_T1 784.203125 573.078125 21.625 29 573.078125 805.828125 602.078125 784.203125
I2Q1_T2 805.828125 573.078125 40.40625 29 573.078125 846.234375 602.078125 805.828125
I2Q1_T3 846.234375 573.078125 73.4375 29 573.078125 919.671875 602.078125 846.234375
I2Q1_T4 919.671875 573.078125 26.703125 29 573.078125 946.375 602.078125 919.671875
I2Q1_T5 946.375 573.078125 44.5625 29 573.078125 990.9375 602.078125 946.375
I2Q1_T6 990.9375 573.078125 150.65625 29 573.078125 1141.59375 602.078125 990.9375
I2Q1A_T0 814.046875 614.921875 59.359375 25 614.921875 873.40625 639.921875 814.046875
I2Q1A_T1 873.40625 614.921875 59.421875 25 614.921875 932.828125 639.921875 873.40625
I2Q1A_T2 932.828125 614.921875 54.78125 25 614.921875 987.609375 639.921875 932.828125
I2Q1A_T3 987.609375 614.921875 83.75 25 614.921875 1071.359375 639.921875 987.609375
I2Q1A_T4 1071.359375 614.921875 21.109375 25 614.921875 1092.46875 639.921875 1071.359375
I2Q1A_T5 1092.46875 614.921875 30.515625 25 614.921875 1122.984375 639.921875 1092.46875
I2Q1B_T0 793.96875 644.90625 59.359375 25 644.90625 853.328125 669.90625 793.96875
I2Q1B_T1 853.328125 644.90625 59.421875 25 644.90625 912.75 669.90625 853.328125
I2Q1B_T2 912.75 644.90625 54.78125 25 644.90625 967.53125 669.90625 912.75
I2Q1B_T3 967.53125 644.90625 83.75 25 644.90625 1051.28125 669.90625 967.53125
I2Q1B_T4 1051.28125 644.90625 21.109375 25 644.90625 1072.390625 669.90625 1051.28125
I2Q1B_T5 1072.390625 644.90625 70.671875 25 644.90625 1143.0625 669.90625 1072.390625
I2Q1C_T0 784.84375 674.890625 59.359375 25 674.890625 844.203125 699.890625 784.84375
I2Q1C_T1 844.203125 674.890625 59.421875 25 674.890625 903.625 699.890625 844.203125
I2Q1C_T2 903.625 674.890625 54.78125 25 674.890625 958.40625 699.890625 903.625
I2Q1C_T3 958.40625 674.890625 83.75 25 674.890625 1042.15625 699.890625 958.40625
I2Q1C_T4 1042.15625 674.890625 21.109375 25 674.890625 1063.265625 699.890625 1042.15625
