---- Session started: Fri Feb 18 2022 17:39:01 GMT+0100 (Central European Standard Time) ----

id x y width height top right bottom left
I2Q1_T0 723.578125 573.078125 60.625 29 573.078125 784.203125 602.078125 723.578125
I2Q1_T1 784.203125 573.078125 21.625 29 573.078125 805.828125 602.078125 784.203125
I2Q1_T2 805.828125 573.078125 40.40625 29 573.078125 846.234375 602.078125 805.828125
I2Q1_T3 846.234375 573.078125 73.4375 29 573.078125 919.671875 602.078125 846.234375
I2Q1_T4 919.671875 573.078125 26.703125 29 573.078125 946.375 602.078125 919.671875
I2Q1_T5 946.375 573.078125 44.5625 29 573.078125 990.9375 602.078125 946.375
I2Q1_T6 990.9375 573.078125 150.65625 29 573.078125 1141.59375 602.078125 990.9375
I2Q1A_T0 877.0625 614.921875 64.5 25 614.921875 941.5625 639.921875 877.0625
I2Q1A_T1 941.5625 614.921875 118.40625 25 614.921875 1059.96875 639.921875 941.5625
I2Q1B_T0 878.65625 644.90625 61.3125 25 644.90625 939.96875 669.90625 878.65625
I2Q1B_T1 939.96875 644.90625 118.40625 25 644.90625 1058.375 669.90625 939.96875
I2Q1C_T0 874.921875 674.890625 68.78125 25 674.890625 943.703125 699.890625 874.921875
I2Q1C_T1 943.703125 674.890625 118.40625 25 674.890625 1062.109375 699.890625 943.703125
I2Q2_T0 704.046875 573.078125 70.359375 29 573.078125 774.40625 602.078125 704.046875
I2Q2_T1 774.40625 573.078125 52.25 29 573.078125 826.65625 602.078125 774.40625
I2Q2_T2 826.65625 573.078125 21.625 29 573.078125 848.28125 602.078125 826.65625
I2Q2_T3 848.28125 573.078125 41.21875 29 573.078125 889.5 602.078125 848.28125
I2Q2_T4 889.5 573.078125 106.4375 29 573.078125 995.9375 602.078125 889.5
I2Q2_T5 995.9375 573.078125 24.78125 29 573.078125 1020.71875 602.078125 995.9375
I2Q2_T6 1020.71875 573.078125 44.5625 29 573.078125 1065.28125 602.078125 1020.71875
I2Q2_T7 1065.28125 573.078125 150.65625 29 573.078125 1215.9375 602.078125 1065.28125
I2Q2A_T0 944.15625 614.921875 48.734375 25 614.921875 992.890625 639.921875 944.15625
I2Q2B_T0 944.15625 644.90625 48.734375 25 644.90625 992.890625 669.90625 944.15625
I2Q2C_T0 944.15625 674.890625 48.734375 25 674.890625 992.890625 699.890625 944.15625
