---- Session started: Fri Feb 18 2022 17:25:29 GMT+0100 (Central European Standard Time) ----

id x y width height top right bottom left
I2Q1_T0 723.578125 573.078125 60.625 29 573.078125 784.203125 602.078125 723.578125
I2Q1_T1 784.203125 573.078125 21.625 29 573.078125 805.828125 602.078125 784.203125
I2Q1_T2 805.828125 573.078125 40.40625 29 573.078125 846.234375 602.078125 805.828125
I2Q1_T3 846.234375 573.078125 73.4375 29 573.078125 919.671875 602.078125 846.234375
I2Q1_T4 919.671875 573.078125 26.703125 29 573.078125 946.375 602.078125 919.671875
I2Q1_T5 946.375 573.078125 44.5625 29 573.078125 990.9375 602.078125 946.375
I2Q1_T6 990.9375 573.078125 150.65625 29 573.078125 1141.59375 602.078125 990.9375
I2Q1A_T0 772.25 614.921875 89.671875 25 614.921875 861.921875 639.921875 772.25
I2Q1A_T1 861.921875 614.921875 22.8125 25 614.921875 884.734375 639.921875 861.921875
I2Q1A_T2 884.734375 614.921875 75.078125 25 614.921875 959.8125 639.921875 884.734375
I2Q1A_T3 959.8125 614.921875 61.09375 25 614.921875 1020.90625 639.921875 959.8125
I2Q1A_T4 1020.90625 614.921875 22.8125 25 614.921875 1043.71875 639.921875 1020.90625
I2Q1A_T5 1043.71875 614.921875 46.671875 25 614.921875 1090.390625 639.921875 1043.71875
I2Q1A_T6 1090.390625 614.921875 26.28125 25 614.921875 1116.671875 639.921875 1090.390625
I2Q1A_T7 1116.671875 614.921875 48.125 25 614.921875 1164.796875 639.921875 1116.671875
I2Q2_T0 723.578125 573.078125 60.625 29 573.078125 784.203125 602.078125 723.578125
I2Q2_T1 784.203125 573.078125 21.625 29 573.078125 805.828125 602.078125 784.203125
I2Q2_T2 805.828125 573.078125 40.40625 29 573.078125 846.234375 602.078125 805.828125
I2Q2_T3 846.234375 573.078125 78.671875 29 573.078125 924.90625 602.078125 846.234375
I2Q2A_T0 866.21875 614.921875 71.953125 25 614.921875 938.171875 639.921875 866.21875
I2Q2A_T1 938.171875 614.921875 63.171875 25 614.921875 1001.34375 639.921875 938.171875
I2Q2A_T2 1001.34375 614.921875 22.8125 25 614.921875 1024.15625 639.921875 1001.34375
I2Q2A_T3 1024.15625 614.921875 46.671875 25 614.921875 1070.828125 639.921875 1024.15625
I2Q2B_T0 851.40625 644.90625 80.640625 25 644.90625 932.046875 669.90625 851.40625
