---- Session started: Fri Feb 18 2022 17:34:11 GMT+0100 (Central European Standard Time) ----

id x y width height top right bottom left
I2Q1_T0 723.578125 573.078125 60.625 29 573.078125 784.203125 602.078125 723.578125
I2Q1_T1 784.203125 573.078125 21.625 29 573.078125 805.828125 602.078125 784.203125
I2Q1_T2 805.828125 573.078125 40.40625 29 573.078125 846.234375 602.078125 805.828125
I2Q1_T3 846.234375 573.078125 73.4375 29 573.078125 919.671875 602.078125 846.234375
I2Q1_T4 919.671875 573.078125 26.703125 29 573.078125 946.375 602.078125 919.671875
I2Q1_T5 946.375 573.078125 44.5625 29 573.078125 990.9375 602.078125 946.375
I2Q1_T6 990.9375 573.078125 150.65625 29 573.078125 1141.59375 602.078125 990.9375
I2Q1A_T0 796.5625 614.921875 51.5625 25 614.921875 848.125 639.921875 796.5625
I2Q1A_T1 848.125 614.921875 46.359375 25 614.921875 894.484375 639.921875 848.125
I2Q1A_T2 894.484375 614.921875 37.5625 25 614.921875 932.046875 639.921875 894.484375
I2Q1A_T3 932.046875 614.921875 43.359375 25 614.921875 975.40625 639.921875 932.046875
I2Q1A_T4 975.40625 614.921875 57.625 25 614.921875 1033.03125 639.921875 975.40625
I2Q1A_T5 1033.03125 614.921875 46.359375 25 614.921875 1079.390625 639.921875 1033.03125
I2Q1A_T6 1079.390625 614.921875 61.078125 25 614.921875 1140.46875 639.921875 1079.390625
I2Q1B_T0 796.890625 644.90625 51.5625 25 644.90625 848.453125 669.90625 796.890625
I2Q1B_T1 848.453125 644.90625 46.359375 25 644.90625 894.8125 669.90625 848.453125
I2Q1B_T2 894.8125 644.90625 36.921875 25 644.90625 931.734375 669.90625 894.8125
I2Q1B_T3 931.734375 644.90625 43.359375 25 644.90625 975.09375 669.90625 931.734375
I2Q1B_T4 975.09375 644.90625 57.625 25 644.90625 1032.71875 669.90625 975.09375
I2Q1B_T5 1032.71875 644.90625 46.359375 25 644.90625 1079.078125 669.90625 1032.71875
I2Q1B_T6 1079.078125 644.90625 61.078125 25 644.90625 1140.15625 669.90625 1079.078125
I2Q1C_T0 784.515625 674.890625 51.5625 25 674.890625 836.078125 699.890625 784.515625
I2Q1C_T1 836.078125 674.890625 46.359375 25 674.890625 882.4375 699.890625 836.078125
I2Q1C_T2 882.4375 674.890625 37.5625 25 674.890625 920 699.890625 882.4375
