---- Session started: Fri Feb 18 2022 17:21:18 GMT+0100 (Central European Standard Time) ----

id x y width height top right bottom left
I2Q1_T0 723.578125 573.078125 60.625 29 573.078125 784.203125 602.078125 723.578125
I2Q1_T1 784.203125 573.078125 21.625 29 573.078125 805.828125 602.078125 784.203125
I2Q1_T2 805.828125 573.078125 40.40625 29 573.078125 846.234375 602.078125 805.828125
I2Q1_T3 846.234375 573.078125 73.4375 29 573.078125 919.671875 602.078125 846.234375
I2Q1_T4 919.671875 573.078125 26.703125 29 573.078125 946.375 602.078125 919.671875
I2Q1_T5 946.375 573.078125 44.5625 29 573.078125 990.9375 602.078125 946.375
I2Q1_T6 990.9375 573.078125 150.65625 29 573.078125 1141.59375 602.078125 990.9375
I2Q1A_T0 863.546875 614.921875 83.59375 25 614.921875 947.140625 639.921875 863.546875
I2Q1A_T1 947.140625 614.921875 41.375 25 614.921875 988.515625 639.921875 947.140625
I2Q1A_T2 988.515625 614.921875 84.96875 25 614.921875 1073.484375 639.921875 988.515625
I2Q1B_T0 818.15625 644.90625 83.59375 25 644.90625 901.75 669.90625 818.15625
I2Q1B_T1 901.75 644.90625 41.375 25 644.90625 943.125 669.90625 901.75
I2Q1B_T2 943.125 644.90625 71.078125 25 644.90625 1014.203125 669.90625 943.125
I2Q1B_T3 1014.203125 644.90625 104.671875 25 644.90625 1118.875 669.90625 1014.203125
I2Q1C_T0 875.953125 674.890625 83.59375 25 674.890625 959.546875 699.890625 875.953125
I2Q1C_T1 959.546875 674.890625 41.375 25 674.890625 1000.921875 699.890625 959.546875
I2Q1C_T2 1000.921875 674.890625 60.171875 25 674.890625 1061.09375 699.890625 1000.921875
I2Q2_T0 715.609375 573.078125 70.359375 29 573.078125 785.96875 602.078125 715.609375
I2Q2_T1 785.96875 573.078125 62.890625 29 573.078125 848.859375 602.078125 785.96875
I2Q2_T2 848.859375 573.078125 39.828125 29 573.078125 888.6875 602.078125 848.859375
I2Q2_T3 888.6875 573.078125 123.1875 29 573.078125 1011.875 602.078125 888.6875
I2Q2_T4 1011.875 573.078125 24.78125 29 573.078125 1036.65625 602.078125 1011.875
I2Q2_T5 1036.65625 573.078125 44.5625 29 573.078125 1081.21875 602.078125 1036.65625
I2Q2_T6 1081.21875 573.078125 123.15625 29 573.078125 1204.375 602.078125 1081.21875
