---- Session started: Fri Feb 18 2022 17:12:46 GMT+0100 (Central European Standard Time) ----

id x y width height top right bottom left
I2Q1_T0 505.046875 573.078125 60.625 29 573.078125 565.671875 602.078125 505.046875
I2Q1_T1 565.671875 573.078125 21.625 29 573.078125 587.296875 602.078125 565.671875
I2Q1_T2 587.296875 573.078125 40.40625 29 573.078125 627.703125 602.078125 587.296875
I2Q1_T3 627.703125 573.078125 73.4375 29 573.078125 701.140625 602.078125 627.703125
I2Q1_T4 701.140625 573.078125 26.703125 29 573.078125 727.84375 602.078125 701.140625
I2Q1_T5 727.84375 573.078125 44.5625 29 573.078125 772.40625 602.078125 727.84375
I2Q1_T6 772.40625 573.078125 150.65625 29 573.078125 923.0625 602.078125 772.40625
I2Q1A_T0 522.109375 614.921875 14.28125 25 614.921875 536.390625 639.921875 522.109375
I2Q1A_T1 536.390625 614.921875 49.65625 25 614.921875 586.046875 639.921875 536.390625
I2Q1A_T2 586.046875 614.921875 34.578125 25 614.921875 620.625 639.921875 586.046875
I2Q1A_T3 620.625 614.921875 71.171875 25 614.921875 691.796875 639.921875 620.625
I2Q1A_T4 691.796875 614.921875 128.484375 25 614.921875 820.28125 639.921875 691.796875
I2Q1A_T5 820.28125 614.921875 54.875 25 614.921875 875.15625 639.921875 820.28125
I2Q1A_T6 875.15625 614.921875 70.078125 25 614.921875 945.234375 639.921875 875.15625
I2Q1A_T7 945.234375 614.921875 34.578125 25 614.921875 979.8125 639.921875 945.234375
I2Q1A_T8 979.8125 614.921875 57.84375 25 614.921875 1037.65625 639.921875 979.8125
I2Q1A_T9 1037.65625 614.921875 91.921875 25 614.921875 1129.578125 639.921875 1037.65625
I2Q1A_T10 1129.578125 614.921875 78.078125 25 614.921875 1207.65625 639.921875 1129.578125
I2Q1A_T11 1207.65625 614.921875 31.28125 25 614.921875 1238.9375 639.921875 1207.65625
I2Q1A_T12 1238.9375 614.921875 85.3125 25 614.921875 1324.25 639.921875 1238.9375
I2Q1A_T13 1324.25 614.921875 90.6875 25 614.921875 1414.9375 639.921875 1324.25
I2Q1B_T0 542.546875 644.90625 14.28125 25 644.90625 556.828125 669.90625 542.546875
I2Q1B_T1 556.828125 644.90625 49.65625 25 644.90625 606.484375 669.90625 556.828125
I2Q1B_T2 606.484375 644.90625 34.578125 25 644.90625 641.0625 669.90625 606.484375
I2Q1B_T3 641.0625 644.90625 71.171875 25 644.90625 712.234375 669.90625 641.0625
I2Q1B_T4 712.234375 644.90625 128.484375 25 644.90625 840.71875 669.90625 712.234375
I2Q1B_T5 840.71875 644.90625 54.875 25 644.90625 895.59375 669.90625 840.71875
I2Q1B_T6 895.59375 644.90625 70.078125 25 644.90625 965.671875 669.90625 895.59375
I2Q1B_T7 965.671875 644.90625 125.6875 25 644.90625 1091.359375 669.90625 965.671875
I2Q1B_T8 1091.359375 644.90625 95.859375 25 644.90625 1187.21875 669.90625 1091.359375
I2Q1B_T9 1187.21875 644.90625 31.28125 25 644.90625 1218.5 669.90625 1187.21875
I2Q1B_T10 1218.5 644.90625 85.3125 25 644.90625 1303.8125 669.90625 1218.5
I2Q1B_T11 1303.8125 644.90625 90.6875 25 644.90625 1394.5 669.90625 1303.8125
I2Q1C_T0 555.890625 674.890625 14.28125 25 674.890625 570.171875 699.890625 555.890625
I2Q1C_T1 570.171875 674.890625 49.65625 25 674.890625 619.828125 699.890625 570.171875
I2Q1C_T2 619.828125 674.890625 34.578125 25 674.890625 654.40625 699.890625 619.828125
I2Q1C_T3 654.40625 674.890625 57.84375 25 674.890625 712.25 699.890625 654.40625
I2Q1C_T4 712.25 674.890625 91.921875 25 674.890625 804.171875 699.890625 712.25
I2Q1C_T5 804.171875 674.890625 78.078125 25 674.890625 882.25 699.890625 804.171875
I2Q1C_T6 882.25 674.890625 70.078125 25 674.890625 952.328125 699.890625 882.25
I2Q1C_T7 952.328125 674.890625 125.6875 25 674.890625 1078.015625 699.890625 952.328125
I2Q1C_T8 1078.015625 674.890625 95.859375 25 674.890625 1173.875 699.890625 1078.015625
I2Q1C_T9 1173.875 674.890625 31.28125 25 674.890625 1205.15625 699.890625 1173.875
I2Q1C_T10 1205.15625 674.890625 85.3125 25 674.890625 1290.46875 699.890625 1205.15625
I2Q1C_T11 1290.46875 674.890625 90.6875 25 674.890625 1381.15625 699.890625 1290.46875
I2Q2_T0 643.1875 573.078125 70.359375 29 573.078125 713.546875 602.078125 643.1875
I2Q2_T1 713.546875 573.078125 83.96875 29 573.078125 797.515625 602.078125 713.546875
I2Q2_T2 797.515625 573.078125 86.46875 29 573.078125 883.984375 602.078125 797.515625
